t_s,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.066,0.615086,-0.992812,0.377726,-0.020811,0.107643,-0.0868323,0.087325,-0.537479,0.450154,0.106346,-0.262321,0.155974,0.0855351,-0.154677,0.0691421,1.00162,0.993042,0,0.116333,0.000732422,0.278564,-0.569946,-0.250366,0.0198975,-0.134033,0.0206299,-0.000854492,-0.00671387,-0.00439453,0.00695801,0.0574951,-0.0653076,-0.0101318,0.0684814,-0.0145264,0.0754395,0.911865
0.068,0.952595,-0.706561,-0.246035,-0.0753503,0.110514,-0.0351635,0.136522,-0.576837,0.440315,0.225099,-0.251686,0.0265865,0.149749,-0.141172,-0.00857696,1.00285,0.990723,0,0.109131,-0.0131836,0.220093,-0.567871,-0.24292,0.00561523,-0.133789,-0.00756836,-0.00109863,0.00292969,-0.0106201,-0.00671387,0.0301514,-0.0314941,-0.0223389,0.0290527,-0.032959,0.0223389,0.911865
0.07,0.947864,-0.146674,-0.801189,-0.108361,0.064586,0.0437749,0.136522,-0.575607,0.439085,0.239279,-0.136478,-0.102801,0.130918,-0.0718916,-0.0590264,1.00039,1.00854,0,0.125854,-0.00756836,0.240601,-0.530884,-0.245361,-0.0396729,-0.119507,-0.0472412,0.00769043,0.0131836,-0.00964355,0.0113525,0.00854492,-0.0186768,0.00354004,0.0240479,-0.00610352,0.0354004,0.911987
0.072,0.560675,0.443178,-1.00385,-0.0961614,-0.00717622,0.103338,0.245986,-0.622345,0.376359,0.202058,-0.00886218,-0.193196,0.105896,-0.0160384,-0.0898579,0.997112,0.991943,0,0.122559,-0.00537109,0.174438,-0.541016,-0.235962,-0.012207,-0.113403,-0.0175781,0.00732422,0.0102539,-0.0117188,0.00170898,0.0803223,-0.0141602,-0.0169678,0.0174561,-0.0286865,0.019165,0.912109
0.074,-0.04968,0.883201,-0.833521,-0.0358811,-0.0825265,0.118408,0.130373,-0.591596,0.461224,0.0779872,0.116981,-0.194968,0.0421061,0.0344542,-0.0765603,0.99957,1.01807,0,0.121826,0.0090332,0.207764,-0.545166,-0.208008,-0.0179443,-0.0861816,-0.00891113,0.00598145,-0.00610352,0.00219727,-0.0135498,0.0203857,-0.00476074,-0.0252686,0.00866699,-0.0230713,-0.00488281,0.912109
0.076,-0.604835,0.995967,-0.391132,0.038034,-0.119125,0.0810913,0.199249,-0.558388,0.35914,-0.0886218,0.214465,-0.125843,-0.0505878,0.0953395,-0.0447516,0.99998,1.00574,0,0.116211,0.00610352,0.242188,-0.54895,-0.238281,-0.026123,-0.12207,-0.0200195,0.0057373,0.00415039,-0.00634766,-0.00964355,0.0274658,-0.0111084,-0.0330811,0.00915527,-0.0394287,-0.000488281,0.912109
0.078,-0.940767,0.713658,0.227109,0.0997495,-0.121996,0.0222463,0.249676,-0.621115,0.371439,-0.164837,0.212692,-0.0478558,-0.0650871,0.0906966,-0.0256095,0.998341,0.990356,0,0.117676,0.00146484,0.175537,-0.580322,-0.188354,0.0205078,-0.0706787,0.0219727,-0.0098877,0.0112305,-0.00268555,-0.0114746,0.00378418,-0.0421143,-0.00512695,0.0301514,-0.0078125,0.0186768,0.912231
0.08,-0.944709,0.157714,0.786995,0.133478,-0.0746327,-0.058845,0.273044,-0.613735,0.340691,-0.209147,0.120526,0.0886218,-0.0756697,0.0458929,0.0297768,1.0008,1.0033,0,0.135376,0.00366211,0.244019,-0.555298,-0.221191,-0.0240479,-0.0858154,-0.0203857,0.00317383,0.0155029,0.00219727,0.00634766,-0.00170898,-0.00476074,0.00390625,0.00976563,0.00610352,0.0161133,0.912109
0.082,-0.551212,-0.43056,0.981772,0.121996,-0.000717622,-0.121278,0.279194,-0.627264,0.34807,-0.177244,0.0212692,0.155974,-0.0552478,0.0205516,0.0346962,0.99957,0.97998,0,0.134766,0.00366211,0.243896,-0.576416,-0.198486,0.000366211,-0.0637207,0.00402832,-0.00280762,0.00341797,0.00585938,0.00524902,-0.0113525,-0.017334,-0.022583,0.013916,-0.0167236,0.019165,0.911987
0.084,0.0536229,-0.874527,0.820904,0.053104,0.0710446,-0.124149,0.380048,-0.638334,0.258285,-0.101029,-0.0673526,0.168381,-0.0479248,0.00369202,0.0442328,1.00039,1.00537,0,0.131226,0.00842285,0.16272,-0.576416,-0.171631,0.0168457,-0.0404053,0.0252686,0.000366211,-0.0174561,0.0128174,0.00231934,0.0323486,0.0065918,-0.0175781,0.00134277,-0.00476074,0.00366211,0.911865
